DD/MM/YYYY,latest,open,max,min,volume,% change,,,,,,,,,,,,,
30/06/2023,0.02,0.02,0.03,0.02,1.14B,0.00%,,,,,,,,,,,,,
29/06/2023,0.02,0.02,0.03,0.01,471.15M,0.00%,,,,,,,,,,,,,
28/06/2023,0.02,0.02,0.02,0.01,225.76M,0.00%,,,,,,,,,,,,,
27/06/2023,0.02,0.02,0.03,0.02,61.99M,-33.33%,,,,,,,,,,,,,
26/06/2023,0.03,0.02,0.03,0.02,162.59M,50.00%,,,,,,,,,,,,,
23/06/2023,0.02,0.02,0.03,0.02,524.19M,-33.33%,,,,,,,,,,,,,
22/06/2023,0.03,0.03,0.03,0.02,226.09M,0.00%,,,,,,,,,,,,,
21/06/2023,0.03,0.01,0.03,0.01,1.16B,0.00%,,,,,,,,,,,,,
20/06/2023,0.03,0.03,0.04,0.03,70.65M,-40.00%,,,,,,,,,,,,,
19/06/2023,0.05,0.05,0.06,0.05,71.37M,-37.50%,,,,,,,,,,,,,
16/06/2023,0.08,0.09,0.1,0.07,278.71M,-11.11%,,,,,,,,,,,,,
15/06/2023,0.09,0.1,0.11,0.09,90.41M,-10.00%,,,,,,,,,,,,,
14/06/2023,0.1,0.1,0.12,0.09,338.43M,0.00%,,,,,,,,,,,,,
13/06/2023,0.1,0.1,0.1,0.09,163.96M,0.00%,,,,,,,,,,,,,
12/06/2023,0.1,0.11,0.12,0.09,1.12B,-9.09%,,,,,,,,,,,,,
9/06/2023,0.11,0.13,0.14,0.11,1.12B,-21.43%,,,,,,,,,,,,,
8/06/2023,0.14,0.16,0.16,0.13,598.51M,-6.67%,,,,,,,,,,,,,
7/06/2023,0.15,0.18,0.2,0.15,1.11B,-16.67%,,,,,,,,,,,,,
6/06/2023,0.18,0.18,0.21,0.17,1.01B,-18.18%,,,,,,,,,,,,,
2/06/2023,0.22,0.17,0.23,0.14,2.30B,22.22%,,,,,,,,,,,,,
1/06/2023,0.18,0.25,0.34,0.13,4.90B,-92.44%,,,,,,,,,,,,,
28/02/2023,2.38,2.4,2.44,2.38,31.92M,0.00%,,,,,,,,,,,,,
27/02/2023,2.38,2.4,2.42,2.32,41.15M,-0.83%,,,,,,,,,,,,,
24/02/2023,2.4,2.44,2.48,2.36,99.73M,-3.23%,,,,,,,,,,,,,
23/02/2023,2.48,2.58,2.6,2.46,83.02M,-3.88%,,,,,,,,,,,,,
22/02/2023,2.58,2.62,2.64,2.56,41.89M,-1.53%,,,,,,,,,,,,,
21/02/2023,2.62,2.66,2.7,2.6,46.16M,-1.50%,,,,,,,,,,,,,
20/02/2023,2.66,2.6,2.74,2.58,77.04M,2.31%,,,,,,,,,,,,,
17/02/2023,2.6,2.6,2.62,2.56,45.95M,0.00%,,,,,,,,,,,,,
16/02/2023,2.6,2.6,2.64,2.56,40.14M,0.78%,,,,,,,,,,,,,
15/02/2023,2.58,2.6,2.68,2.52,115.47M,-0.77%,,,,,,,,,,,,,
14/02/2023,2.6,2.74,2.76,2.58,93.97M,-5.11%,,,,,,,,,,,,,
13/02/2023,2.74,2.78,2.84,2.72,44.90M,-1.44%,,,,,,,,,,,,,
10/02/2023,2.78,2.8,2.82,2.74,46.14M,-1.42%,,,,,,,,,,,,,
9/02/2023,2.82,2.86,2.86,2.76,93.02M,-2.08%,,,,,,,,,,,,,
8/02/2023,2.88,2.96,2.98,2.86,57.76M,-2.04%,,,,,,,,,,,,,
7/02/2023,2.94,3,3.02,2.92,57.34M,-2.00%,,,,,,,,,,,,,
6/02/2023,3,2.98,3.02,2.94,54.07M,1.35%,,,,,,,,,,,,,
3/02/2023,2.96,3.02,3.02,2.96,33.30M,-1.33%,,,,,,,,,,,,,
2/02/2023,3,3.04,3.04,3,24.08M,-1.32%,,,,,,,,,,,,,
1/02/2023,3.04,2.98,3.04,2.98,55.07M,2.01%,,,,,,,,,,,,,
31/01/2023,2.98,3,3.02,2.94,75.79M,-0.67%,,,,,,,,,,,,,
30/01/2023,3,3.02,3.08,2.98,85.27M,0.00%,,,,,,,,,,,,,
27/01/2023,3,3.06,3.08,2.94,102.52M,-1.96%,,,,,,,,,,,,,
26/01/2023,3.06,3,3.08,2.98,74.08M,2.68%,,,,,,,,,,,,,
25/01/2023,2.98,3.04,3.08,2.96,132.49M,-0.67%,,,,,,,,,,,,,
24/01/2023,3,3.08,3.1,2.94,162.48M,-1.96%,,,,,,,,,,,,,
23/01/2023,3.06,3.06,3.14,2.98,175.24M,0.66%,,,,,,,,,,,,,
20/01/2023,3.04,2.86,3.14,2.84,350.08M,7.80%,,,,,,,,,,,,,
19/01/2023,2.82,2.74,2.9,2.72,139.45M,1.44%,,,,,,,,,,,,,
18/01/2023,2.78,2.68,2.8,2.68,74.59M,3.73%,,,,,,,,,,,,,
17/01/2023,2.68,2.68,2.74,2.66,30.99M,0.00%,,,,,,,,,,,,,
16/01/2023,2.68,2.7,2.78,2.64,64.58M,0.00%,,,,,,,,,,,,,
13/01/2023,2.68,2.5,2.74,2.5,219.90M,7.20%,,,,,,,,,,,,,
12/01/2023,2.5,2.5,2.52,2.48,15.52M,0.00%,,,,,,,,,,,,,
11/01/2023,2.5,2.52,2.54,2.48,28.22M,0.00%,,,,,,,,,,,,,
10/01/2023,2.5,2.54,2.56,2.5,41.40M,-1.57%,,,,,,,,,,,,,
9/01/2023,2.54,2.52,2.56,2.52,33.37M,1.60%,,,,,,,,,,,,,
6/01/2023,2.5,2.54,2.58,2.5,66.20M,-0.79%,,,,,,,,,,,,,
5/01/2023,2.52,2.56,2.62,2.5,83.86M,-0.79%,,,,,,,,,,,,,
4/01/2023,2.54,2.44,2.56,2.44,56.22M,4.10%,,,,,,,,,,,,,
3/01/2023,2.44,2.5,2.54,2.42,73.42M,-2.40%,,,,,,,,,,,,,
30/12/2022,2.5,2.42,2.56,2.42,119.69M,4.17%,,,,,,,,,,,,,
29/12/2022,2.4,2.4,2.42,2.4,12.17M,-0.83%,,,,,,,,,,,,,
28/12/2022,2.42,2.42,2.46,2.38,43.04M,0.00%,,,,,,,,,,,,,
27/12/2022,2.42,2.38,2.44,2.38,61.93M,0.83%,,,,,,,,,,,,,
26/12/2022,2.4,2.3,2.46,2.3,107.45M,4.35%,,,,,,,,,,,,,
23/12/2022,2.3,2.3,2.32,2.24,54.81M,0.00%,,,,,,,,,,,,,
22/12/2022,2.3,2.4,2.42,2.3,191.89M,-1.71%,,,,,,,,,,,,,
21/12/2022,2.34,2.4,2.4,2.3,115.38M,0.00%,,,,,,,,,,,,,
20/12/2022,2.34,2.36,2.4,2.16,339.43M,2.63%,,,,,,,,,,,,,
19/12/2022,2.28,2.48,2.56,2.28,290.78M,-8.06%,,,,,,,,,,,,,
16/12/2022,2.48,2.64,2.7,2.26,591.02M,-9.49%,,,,,,,,,,,,,
15/12/2022,2.74,3,3,2.74,122.12M,-8.67%,,,,,,,,,,,,,
14/12/2022,3,3.22,3.26,2.96,214.84M,-6.83%,,,,,,,,,,,,,
13/12/2022,3.22,3.26,3.28,3.16,43.08M,-1.23%,,,,,,,,,,,,,
9/12/2022,3.26,3.32,3.32,3.26,25.67M,-1.81%,,,,,,,,,,,,,
8/12/2022,3.32,3.34,3.38,3.3,26.43M,0.00%,,,,,,,,,,,,,
7/12/2022,3.32,3.3,3.36,3.3,38.38M,0.61%,,,,,,,,,,,,,
6/12/2022,3.3,3.28,3.34,3.28,31.44M,0.61%,,,,,,,,,,,,,
2/12/2022,3.28,3.28,3.34,3.26,32.82M,0.61%,,,,,,,,,,,,,
1/12/2022,3.26,3.26,3.3,3.22,60.07M,0.62%,,,,,,,,,,,,,
30/11/2022,3.24,3.22,3.26,3.18,21.55M,1.25%,,,,,,,,,,,,,
29/11/2022,3.2,3.24,3.28,3.2,22.83M,-0.62%,,,,,,,,,,,,,
28/11/2022,3.22,3.26,3.3,3.18,22.47M,-1.83%,,,,,,,,,,,,,
25/11/2022,3.28,3.24,3.32,3.24,17.69M,1.23%,,,,,,,,,,,,,
24/11/2022,3.24,3.28,3.32,3.2,33.92M,-1.22%,,,,,,,,,,,,,
23/11/2022,3.28,3.28,3.3,3.24,22.76M,0.61%,,,,,,,,,,,,,
22/11/2022,3.26,3.28,3.3,3.24,19.22M,-0.61%,,,,,,,,,,,,,
21/11/2022,3.28,3.18,3.34,3.18,81.29M,3.80%,,,,,,,,,,,,,
18/11/2022,3.16,3.28,3.28,3.16,45.13M,-3.66%,,,,,,,,,,,,,
17/11/2022,3.28,3.3,3.32,3.26,9.22M,-0.61%,,,,,,,,,,,,,
16/11/2022,3.3,3.36,3.4,3.28,26.28M,-1.79%,,,,,,,,,,,,,
15/11/2022,3.36,3.38,3.4,3.34,26.74M,0.60%,,,,,,,,,,,,,
14/11/2022,3.34,3.32,3.38,3.32,18.17M,-1.76%,,,,,,,,,,,,,
11/11/2022,3.4,3.44,3.44,3.38,21.96M,0.00%,,,,,,,,,,,,,
10/11/2022,3.4,3.3,3.42,3.28,42.74M,3.03%,,,,,,,,,,,,,
9/11/2022,3.3,3.28,3.32,3.28,17.59M,1.23%,,,,,,,,,,,,,
8/11/2022,3.26,3.32,3.36,3.26,19.34M,-1.81%,,,,,,,,,,,,,
7/11/2022,3.32,3.42,3.42,3.3,25.13M,-2.92%,,,,,,,,,,,,,
